titre,description,date,lieu,prix,reduction,start_date,end_date,result_city,latitude,longitude
Requiem De Mozart : Symphonie N°35,"Euromusic symphonic orchestra, choeur international hugues reiner",Le vendredi 10 mai 2024,"2 rue Palatine, 75006 Paris","22,00€",,2024-05-10,,Paris,48.850827,2.335586
Avishai Cohen Banda,"Avishai cohen banda ""iroko""",Le vendredi 3 mai 2024,"80 Boulevard Rochechouart, 75018 Paris","43,80€",,2024-05-03,,Paris,48.882862,2.343026
The Silencers,"Au début des années 80, quatre jeunes de glasgow s'exilent à londres pour monter ce qu'ils appelleraient à l'époque un 'vrai' groupe.",Le mardi 12 novembre 2024,"80 Boulevard Rochechouart, 75018 Paris","42,90€",,2024-11-12,,Paris,48.882862,2.343026
One More Time : Hommage Électro Symphonique À Daft Punk,"One more time daft punk, hommage électro symphonique.",Le vendredi 7 juin 2024,"50, quai Charles de Gaulle, 69006 Lyon","39,90€",,2024-06-07,,Lyon,45.7853,4.854545
Hommage À Joe Hisaishi : Musique De Film & Ghibli,Hommage à joe hisaishi,Le samedi 8 juin 2024,"50, quai Charles de Gaulle, 69006 Lyon","39,90€",,2024-06-08,,Lyon,45.7853,4.854545
Hommage À John Williams : Symphonie Des Étoiles,Hommage à john williams,Le dimanche 9 juin 2024,"50, quai Charles de Gaulle, 69006 Lyon","39,90€",,2024-06-09,,Lyon,45.7853,4.854545
Kebu,"Venez découvrir kebu, compositeur et artiste finlandais de musique électronique instrumentale et mélodique influencée par celle des années 70 et 80.",Le mardi 18 juin 2024,"61 rue du Château d’Eau, 75010 Paris","27,00€",jusqu'à -16%,2024-06-18,,Paris,48.872495,2.355162
Eurythmia,Ève risser prend la tête d'un ensemble de douze musiciennes et musiciens pour réunir percussions africaines et jazz contemporain.,Du mardi 18 juin 2024 au jeudi 20 juin 2024,"106 rue Brancion, 75015 Paris","18,50€",jusqu'à -33%,2024-06-18,2024-06-20,Paris,48.830303,2.301819
Humain Cool,"Humain cool auteur, compositeur, interprète, humain cool est un artiste qui rappe, chante et joue de la guitare.",Le samedi 23 novembre 2024,"1 Place Antonin Jutard, 69003 Lyon","25,00€",,2024-11-23,,Lyon,45.756531,4.841261
Montmartre Enchanté Noël : Visite Contée Et Chansons De Noël Par Veronica Antonelli,Et si vous retrouviez l'esprit de noel le temps d'un conte accompagné de chansons traditionnelles de noel et chants sacrés à montmartre ?,Du samedi 7 décembre 2024 au mercredi 25 décembre 2024,"Métro Abbesses, 75018 Paris","8,95€",jusqu'à -30%,2024-12-07,2024-12-25,Paris,48.884943,2.337073
Divine Récital Noël Chansons Et Chants Sacrés,Récital de noel en chansons et chants sacrés à la crypte martyrium saint denis par uma n.rao et veronica antonelli,Le dimanche 8 décembre 2024,"11 rue Yvonne Le Tac, 75018 Paris","5,95€",jusqu'à -59%,2024-12-08,,Paris,48.884063,2.34033
Divine Recital : Veronica Antonelli & Uma N. Rao,"Dans le concept ""patrimoine et spiritualité"", je demande le divine récital !",Le dimanche 8 décembre 2024,"11 rue Yvonne Le Tac, 75018 Paris","27,00€",,2024-12-08,,Paris,48.884063,2.34033
